Title,Ratings,Original_Price,Discounted_Price,Link
BritanniaTreat Croissant - Orange 45 g + Cocoa Creme 45 g + Vanilla Creme t 45 gCombo - 3 Items,NA,₹60,₹57.1,https://bigbasket.in/pd/1223635/britannia-treat-croissant-orange-45-g-cocoa-creme-45-g-vanilla-creme-t-45-g-combo/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=34&t_s=Treat+Croissant+-+Orange+45+g+%252B+Cocoa+Creme+45+g+%252B+Vanilla+Creme+t+45+g
fresho! SignatureBagel - Cheese250 g,NA,NA,₹79,https://bigbasket.in/pd/40021441/fresho-signature-cheese-bagel-250-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=35&t_s=Bagel+-+Cheese
MODERNSandwich Supreme White Bread43184 Ratings400 g,4,NA,₹38,https://bigbasket.in/pd/40058797/modern-sandwich-supreme-baked-for-sandwiches-400-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=36&t_s=Sandwich+Supreme+White+Bread
MODERNSweet Plus Bun - Soft & Tasty3.9325 Ratings200 g,3.9,NA,₹25,https://bigbasket.in/pd/40223054/modern-sweet-plus-bun-soft-tasty-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=37&t_s=Sweet+Plus+Bun+-+Soft+%2526+Tasty
MODERNWow Pav - Soft & Tasty3.980 Ratings200 g,3.9,₹35,₹33.25,https://bigbasket.in/pd/40223056/modern-wow-pav-soft-tasty-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=38&t_s=Wow+Pav+-+Soft+%2526+Tasty
LA AmericanaWholewheat Bran Bread4171 Ratings350 g,4,₹65,₹61.75,https://bigbasket.in/pd/40109196/la-americana-bread-whole-wheat-bran-350-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=24&t_s=Wholewheat%2520Bran%2520Bread
MODERNBun - Sweet (5x1)51 Rating200 g - Pouch,5,NA,NA,https://bigbasket.in/pd/40000566/modern-bun-sweet-5x1-200-g-pouch/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=39&t_s=Bun+-+Sweet+%25285x1%2529
MODERNKulcha4.411 Ratings200 g,4.4,NA,₹40,https://bigbasket.in/pd/40223058/modern-kulcha-200-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=40&t_s=Kulcha
MODERNBurger Supreme - Fresh4303 Ratings280 g - (4 pcs),4,₹30,₹28.5,https://bigbasket.in/pd/40057859/modern-burger-supreme-fresh-140-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Burger%2520Supreme%2520-%2520Fresh
MODERNWow Pav Bun3.8293 Ratings280 g,3.8,₹25,₹23.75,https://bigbasket.in/pd/20005302/modern-pav-bun-280-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Wow%2520Pav%2520Bun
MODERNMedium Crust Pizza Base - Fresh3.5138 Ratings150 g,3.5,₹27,₹24.3,https://bigbasket.in/pd/40223055/modern-medium-crust-pizza-base-fresh-150-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=3&t_s=Medium%2520Crust%2520Pizza%2520Base%2520-%2520Fresh
AabadGarlic Toast1.85 Ratings100 g,NA,NA,NA,https://bigbasket.in/pd/40251604/aabad-garlic-toast-crunchy-munchy-best-teatime-snack-100-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=4&t_s=Garlic%2520Toast
MODERNBurger Supreme - Fresh4303 Ratings280 g - (4 pcs),4,₹30,₹28.5,https://bigbasket.in/pd/40057859/modern-burger-supreme-fresh-140-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=1&t_s=Burger+Supreme+-+Fresh
MODERNWow Pav Bun3.8293 Ratings280 g,3.8,₹25,₹23.75,https://bigbasket.in/pd/20005302/modern-pav-bun-280-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=2&t_s=Wow+Pav+Bun
MODERNMedium Crust Pizza Base - Fresh3.5138 Ratings150 g,3.5,₹27,₹24.3,https://bigbasket.in/pd/40223055/modern-medium-crust-pizza-base-fresh-150-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=3&t_s=Medium+Crust+Pizza+Base+-+Fresh
AabadGarlic Toast1.85 Ratings100 g,NA,NA,NA,https://bigbasket.in/pd/40251604/aabad-garlic-toast-crunchy-munchy-best-teatime-snack-100-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=4&t_s=Garlic+Toast
BritanniaSandwich White Bread3.9165 Ratings600 g,3.9,NA,₹55,https://bigbasket.in/pd/40290585/britannia-sandwich-white-bread-600-g/?nc=cl-prod-list&t_pos_sec=1&t_pos_item=25&t_s=Sandwich%2520White%2520Bread
TastiesWhole Wheat Bread400 g,NA,₹60,₹45,https://bigbasket.in/pd/40232043/tasties-whole-wheat-bread-400-g/?nc=extended_list&t_pos_sec=2&t_pos_item=1&t_s=Whole+Wheat+Bread
"DinshawsMilk Pav - Made With Refined Wheat Flour, Fresh, Soft, No Preservatives4.340 Ratings120 g",4.3,NA,₹10,https://bigbasket.in/pd/40246808/dinshaws-milk-pav-made-with-refined-wheat-flour-fresh-soft-no-preservatives-120-g/?nc=extended_list&t_pos_sec=2&t_pos_item=2&t_s=Milk+Pav+-+Made+With+Refined+Wheat+Flour%252C+Fresh%252C+Soft%252C+No+Preservatives
TastiesMultigrain Bread400 g,NA,₹60,₹49,https://bigbasket.in/pd/40232041/tasties-mulitgrain-bread-400-g/?nc=extended_list&t_pos_sec=2&t_pos_item=3&t_s=Multigrain+Bread
English OvenSub Footlong Italian4.437 Ratings150 g,4.4,NA,₹50,https://bigbasket.in/pd/40200920/english-oven-sub-footlong-italian-150-g/?nc=extended_list&t_pos_sec=2&t_pos_item=4&t_s=Sub+Footlong+Italian
"CROISSANT EXPRESSBurger Bun - Good Quality Ingredients, Perfect Snack3.917 Ratings160 g",3.9,NA,₹25,https://bigbasket.in/pd/40286653/croissant-express-burger-bun-good-quality-ingredients-perfect-snack-160-g/?nc=extended_list&t_pos_sec=2&t_pos_item=5&t_s=Burger+Bun+-+Good+Quality+Ingredients%252C+Perfect+Snack
"Magik CookDalia - Rich In Vitamins & Minerals, Improves Metabolism4.320 Ratings500 g",4.3,NA,₹55,https://bigbasket.in/pd/40254505/magik-cook-dalia-rich-in-vitamins-minerals-improves-metabolism-500-g/?nc=extended_list&t_pos_sec=2&t_pos_item=6&t_s=Dalia+-+Rich+In+Vitamins+%2526+Minerals%252C+Improves+Metabolism
TastiesBrown Bread400 g,NA,₹60,₹49,https://bigbasket.in/pd/40232042/tasties-brown-bread-400-g/?nc=extended_list&t_pos_sec=2&t_pos_item=7&t_s=Brown+Bread
"DinshawsMast Pav - Made With Refined Wheat Flour, Fresh, Soft, No Preservatives4.337 Ratings120 g",4.3,NA,₹10,https://bigbasket.in/pd/40246809/dinshaws-mast-pav-made-with-refined-wheat-flour-fresh-soft-no-preservatives-120-g/?nc=extended_list&t_pos_sec=2&t_pos_item=8&t_s=Mast+Pav+-+Made+With+Refined+Wheat+Flour%252C+Fresh%252C+Soft%252C+No+Preservatives
English OvenParmesan Oregano Sub Footlong Bread4.2347 Ratings150 g,4.2,NA,₹60,https://bigbasket.in/pd/40200921/english-oven-sub-footlong-parmesan-oregano-150-g/?nc=extended_list&t_pos_sec=2&t_pos_item=9&t_s=Parmesan+Oregano+Sub+Footlong+Bread
